datetime_et,open,high,low,close,volume
2024-09-12 09:30,5557.39,5562.78,5550.13,5561.17,0
2024-09-12 10:30,5561.19,5588.22,5557.93,5586.27,0
2024-09-12 11:30,5586.26,5600.71,5584.35,5599.74,0
2024-09-12 12:30,5599.73,5600.63,5573.96,5595.06,0
2024-09-12 13:30,5594.95,5599.4,5588.49,5595.76,0
2024-09-13 07:30,5603.34,5629.61,5601.65,5612.37,0
2024-09-13 08:30,5612.41,5631.51,5609.84,5625.61,0
2024-09-13 09:30,5625.58,5635.87,5621.76,5622.39,0
2024-09-13 10:30,5622.39,5634.2,5619.66,5634.04,0
2024-09-13 11:30,5634.04,5636.27,5618.95,5620.06,0
2024-09-13 12:30,5620.03,5625.86,5616.96,5624.33,0
2024-09-13 13:30,5624.34,5629.46,5619.77,5626.02,0
2024-09-16 07:30,5615.21,5635.05,5613.07,5614.48,0
2024-09-16 08:30,5614.58,5620.0,5604.53,5614.5,0
2024-09-16 09:30,5614.48,5619.7,5608.67,5619.12,0
2024-09-16 10:30,5619.11,5623.73,5613.71,5621.6,0
2024-09-16 11:30,5621.54,5631.23,5621.2,5630.61,0
2024-09-16 12:30,5630.55,5632.06,5624.16,5628.83,0
2024-09-16 13:30,5628.86,5636.05,5627.12,5633.09,0
2024-09-17 07:30,5655.51,5667.95,5646.59,5663.69,0
2024-09-17 08:30,5663.49,5670.81,5652.53,5656.6,0
2024-09-17 09:30,5656.33,5657.98,5634.44,5639.66,0
2024-09-17 10:30,5639.75,5642.05,5615.95,5635.01,0
2024-09-17 11:30,5635.21,5636.23,5614.05,5629.15,0
2024-09-17 12:30,5629.17,5633.55,5619.35,5625.65,0
2024-09-17 13:30,5625.65,5635.76,5622.6,5634.58,0
2024-09-18 07:30,5641.68,5642.84,5627.01,5633.28,0
2024-09-18 08:30,5633.27,5638.49,5627.51,5628.58,0
2024-09-18 09:30,5628.56,5635.7,5618.47,5634.54,0
2024-09-18 10:30,5634.56,5643.48,5633.15,5642.79,0
2024-09-18 11:30,5642.72,5689.75,5627.21,5665.01,0
2024-09-18 12:30,5665.16,5674.84,5622.06,5658.04,0
2024-09-18 13:30,5658.11,5659.42,5615.08,5618.26,0
2024-09-19 07:30,5702.63,5721.79,5686.42,5720.65,0
2024-09-19 08:30,5720.63,5723.88,5700.52,5714.6,0
2024-09-19 09:30,5714.6,5725.16,5706.42,5724.51,0
2024-09-19 10:30,5724.3,5725.74,5717.76,5725.12,0
2024-09-19 11:30,5725.08,5733.57,5715.16,5724.45,0
2024-09-19 12:30,5724.47,5727.27,5712.89,5715.02,0
2024-09-19 13:30,5715.07,5722.56,5708.7,5713.64,0
2024-09-20 07:30,5709.64,5709.64,5686.83,5695.03,0
2024-09-20 08:30,5694.51,5700.08,5674.49,5681.58,0
2024-09-20 09:30,5681.48,5703.12,5680.36,5702.26,0
2024-09-20 10:30,5702.23,5707.48,5700.19,5705.81,0
2024-09-20 11:30,5705.83,5709.19,5686.26,5686.4,0
2024-09-20 12:30,5686.5,5708.15,5684.37,5704.34,0
2024-09-20 13:30,5704.26,5715.14,5700.54,5702.55,0
2024-09-23 07:30,5711.9,5725.36,5705.8,5720.12,0
2024-09-23 08:30,5720.1,5723.26,5710.53,5720.76,0
2024-09-23 09:30,5720.97,5723.76,5706.86,5712.21,0
2024-09-23 10:30,5712.07,5713.89,5704.22,5710.6,0
2024-09-23 11:30,5710.65,5717.82,5709.63,5716.32,0
2024-09-23 12:30,5716.25,5718.16,5713.37,5716.56,0
2024-09-23 13:30,5716.68,5721.03,5714.16,5718.57,0
2024-09-24 07:30,5727.66,5731.0,5700.5,5704.88,0
2024-09-24 08:30,5704.91,5723.59,5698.99,5722.78,0
2024-09-24 09:30,5722.81,5733.23,5720.53,5728.62,0
2024-09-24 10:30,5728.66,5734.43,5725.51,5730.05,0
2024-09-24 11:30,5730.06,5732.41,5718.11,5720.91,0
2024-09-24 12:30,5720.96,5729.65,5720.81,5728.1,0
2024-09-24 13:30,5727.97,5735.32,5726.28,5732.93,0
2024-09-25 07:30,5733.65,5741.03,5731.3,5733.51,0
2024-09-25 08:30,5733.59,5736.04,5729.02,5730.21,0
2024-09-25 09:30,5730.21,5734.69,5725.11,5727.72,0
2024-09-25 10:30,5727.6,5728.24,5714.31,5720.49,0
2024-09-25 11:30,5720.44,5725.84,5712.06,5723.49,0
2024-09-25 12:30,5723.54,5724.92,5719.45,5719.45,0
2024-09-25 13:30,5719.35,5723.47,5716.14,5722.26,0
2024-09-26 07:30,5762.22,5767.37,5746.09,5748.66,0
2024-09-26 08:30,5748.72,5755.69,5730.4,5732.88,0
2024-09-26 09:30,5732.92,5747.85,5732.46,5733.38,0
2024-09-26 10:30,5733.36,5736.04,5721.01,5734.37,0
2024-09-26 11:30,5734.34,5748.89,5733.59,5745.42,0
2024-09-26 12:30,5745.41,5746.69,5741.5,5742.22,0
2024-09-26 13:30,5742.15,5749.03,5740.71,5745.37,0
2024-09-27 07:30,5755.36,5763.78,5748.47,5758.6,0
2024-09-27 08:30,5758.3,5761.23,5751.18,5751.73,0
2024-09-27 09:30,5751.62,5753.7,5740.48,5744.11,0
2024-09-27 10:30,5744.12,5749.4,5739.18,5739.97,0
2024-09-27 11:30,5739.98,5748.13,5733.27,5733.41,0
2024-09-27 12:30,5733.49,5745.44,5727.34,5740.72,0
2024-09-27 13:30,5740.77,5742.66,5736.41,5738.17,0
2024-09-30 07:30,5726.52,5737.5,5724.35,5731.37,0
2024-09-30 08:30,5731.3,5739.43,5730.38,5739.2,0
2024-09-30 09:30,5739.2,5743.86,5729.22,5740.64,0
2024-09-30 10:30,5740.56,5741.06,5731.08,5733.06,0
2024-09-30 11:30,5733.1,5738.28,5703.53,5711.73,0
2024-09-30 12:30,5711.75,5732.99,5709.52,5730.22,0
2024-09-30 13:30,5730.4,5765.14,5729.87,5762.48,0
2024-10-01 07:30,5757.73,5757.73,5689.69,5691.09,0
2024-10-01 08:30,5690.74,5708.3,5681.28,5701.74,0
2024-10-01 09:30,5701.69,5716.87,5700.25,5709.34,0
2024-10-01 10:30,5709.32,5709.54,5683.92,5686.2,0
2024-10-01 11:30,5686.28,5727.6,5686.28,5727.24,0
2024-10-01 12:30,5727.15,5730.35,5717.59,5721.69,0
2024-10-01 13:30,5721.66,5721.73,5706.46,5708.75,0
2024-10-02 07:30,5698.14,5709.65,5674.0,5703.94,0
2024-10-02 08:30,5703.95,5718.86,5703.04,5718.67,0
2024-10-02 09:30,5718.73,5719.63,5710.03,5712.24,0
2024-10-02 10:30,5712.34,5712.93,5698.74,5702.57,0
2024-10-02 11:30,5702.6,5714.13,5697.39,5704.11,0
2024-10-02 12:30,5704.41,5714.18,5704.41,5711.33,0
2024-10-02 13:30,5711.4,5715.48,5708.96,5709.54,0
2024-10-03 07:30,5698.19,5718.78,5687.47,5687.47,0
2024-10-03 08:30,5687.66,5705.55,5684.23,5699.09,0
2024-10-03 09:30,5699.18,5712.11,5699.15,5704.74,0
2024-10-03 10:30,5704.78,5706.09,5677.37,5689.4,0
2024-10-03 11:30,5689.53,5694.87,5682.59,5689.08,0
2024-10-03 12:30,5689.02,5693.22,5682.16,5686.52,0
2024-10-03 13:30,5686.49,5703.32,5685.76,5699.94,0
2024-10-04 07:30,5737.48,5746.02,5705.21,5706.26,0
2024-10-04 08:30,5706.31,5726.8,5702.83,5705.02,0
2024-10-04 09:30,5704.85,5727.27,5703.36,5716.65,0
2024-10-04 10:30,5716.63,5735.29,5715.97,5731.2,0
2024-10-04 11:30,5731.35,5734.8,5717.27,5727.74,0
2024-10-04 12:30,5727.76,5741.55,5726.32,5739.61,0
2024-10-04 13:30,5739.63,5753.21,5739.2,5751.07,0
2024-10-07 07:30,5737.8,5739.34,5725.31,5734.34,0
2024-10-07 08:30,5734.25,5738.59,5726.84,5736.18,0
2024-10-07 09:30,5736.2,5737.78,5722.27,5729.27,0
2024-10-07 10:30,5729.32,5730.03,5722.4,5723.73,0
2024-10-07 11:30,5723.71,5725.85,5699.52,5711.19,0
2024-10-07 12:30,5711.01,5712.07,5686.85,5695.38,0
2024-10-07 13:30,5695.42,5706.22,5688.43,5695.94,0
2024-10-08 07:30,5719.14,5733.6,5714.56,5730.74,0
2024-10-08 08:30,5730.74,5745.08,5728.65,5740.06,0
2024-10-08 09:30,5740.07,5743.27,5734.57,5739.75,0
2024-10-08 10:30,5739.79,5742.55,5726.56,5732.22,0
2024-10-08 11:30,5732.24,5740.14,5732.24,5739.22,0
2024-10-08 12:30,5739.24,5750.2,5737.98,5749.71,0
2024-10-08 13:30,5749.8,5757.6,5749.78,5751.13,0
2024-10-09 07:30,5751.8,5763.38,5745.02,5761.22,0
2024-10-09 08:30,5761.23,5778.97,5760.5,5778.95,0
2024-10-09 09:30,5778.91,5790.43,5778.3,5781.54,0
2024-10-09 10:30,5781.66,5786.0,5776.23,5783.39,0
2024-10-09 11:30,5783.41,5785.51,5771.13,5783.92,0
2024-10-09 12:30,5783.93,5787.55,5778.01,5787.13,0
2024-10-09 13:30,5787.11,5796.8,5786.84,5792.04,0
2024-10-10 07:30,5778.36,5785.98,5765.41,5780.12,0
2024-10-10 08:30,5780.09,5784.17,5771.06,5780.78,0
2024-10-10 09:30,5780.6,5795.03,5778.44,5787.36,0
2024-10-10 10:30,5787.37,5790.19,5772.62,5783.93,0
2024-10-10 11:30,5783.94,5785.44,5768.08,5772.39,0
2024-10-10 12:30,5772.35,5773.83,5764.76,5773.79,0
2024-10-10 13:30,5773.74,5784.0,5772.26,5780.05,0
2024-10-11 07:30,5775.09,5819.47,5775.09,5818.57,0
2024-10-11 08:30,5818.57,5818.97,5806.67,5811.45,0
2024-10-11 09:30,5811.48,5815.73,5804.63,5806.28,0
2024-10-11 10:30,5806.31,5809.69,5800.71,5808.38,0
2024-10-11 11:30,5808.34,5817.89,5806.08,5814.17,0
2024-10-11 12:30,5814.19,5822.12,5807.93,5818.65,0
2024-10-11 13:30,5818.68,5822.13,5814.66,5815.03,0
2024-10-14 07:30,5829.81,5855.6,5829.57,5854.41,0
2024-10-14 08:30,5854.3,5857.02,5843.28,5845.8,0
2024-10-14 09:30,5845.87,5857.84,5845.79,5857.11,0
2024-10-14 10:30,5857.17,5860.32,5855.92,5856.68,0
2024-10-14 11:30,5856.72,5861.02,5853.04,5859.93,0
2024-10-14 12:30,5860.0,5865.39,5859.92,5863.87,0
2024-10-14 13:30,5863.83,5871.41,5859.35,5859.85,0
2024-10-15 07:30,5866.74,5870.36,5848.25,5849.72,0
2024-10-15 08:30,5849.19,5850.39,5831.37,5841.88,0
2024-10-15 09:30,5842.13,5845.54,5831.69,5839.75,0
2024-10-15 10:30,5839.74,5843.81,5826.99,5828.83,0
2024-10-15 11:30,5828.86,5835.88,5822.8,5825.55,0
2024-10-15 12:30,5825.6,5825.85,5807.16,5811.87,0
2024-10-15 13:30,5811.86,5820.27,5804.48,5815.26,0
2024-10-16 07:30,5816.58,5830.02,5808.34,5828.79,0
2024-10-16 08:30,5828.7,5828.95,5813.76,5824.0,0
2024-10-16 09:30,5824.01,5828.62,5819.17,5828.59,0
2024-10-16 10:30,5828.5,5834.48,5825.73,5831.45,0
2024-10-16 11:30,5831.49,5846.11,5830.22,5844.85,0
2024-10-16 12:30,5844.84,5846.52,5839.9,5841.03,0
2024-10-16 13:30,5841.02,5843.7,5839.93,5842.47,0
2024-10-17 07:30,5875.62,5878.46,5848.28,5857.43,0
2024-10-17 08:30,5857.36,5860.88,5843.33,5860.83,0
2024-10-17 09:30,5860.89,5868.83,5857.93,5859.39,0
2024-10-17 10:30,5859.33,5866.24,5856.48,5861.55,0
2024-10-17 11:30,5861.58,5865.83,5843.71,5846.23,0
2024-10-17 12:30,5845.85,5852.52,5843.3,5843.39,0
2024-10-17 13:30,5843.33,5845.84,5840.25,5841.47,0
2024-10-18 07:30,5859.43,5863.64,5846.11,5854.12,0
2024-10-18 08:30,5854.12,5862.35,5850.23,5862.18,0
2024-10-18 09:30,5862.14,5863.52,5855.85,5860.18,0
2024-10-18 10:30,5860.17,5871.11,5859.7,5864.09,0
2024-10-18 11:30,5864.06,5872.17,5857.95,5869.76,0
2024-10-18 12:30,5869.76,5870.2,5861.7,5862.67,0
2024-10-18 13:30,5862.69,5866.22,5859.71,5864.67,0
2024-10-21 07:30,5857.82,5866.92,5855.93,5856.43,0
2024-10-21 08:30,5856.41,5856.41,5824.94,5824.94,0
2024-10-21 09:30,5824.91,5844.59,5824.79,5840.78,0
2024-10-21 10:30,5840.78,5850.7,5837.92,5847.91,0
2024-10-21 11:30,5847.95,5852.04,5843.03,5844.66,0
2024-10-21 12:30,5844.64,5850.52,5840.62,5845.37,0
2024-10-21 13:30,5845.3,5854.78,5841.88,5853.98,0
2024-10-22 07:30,5832.7,5840.04,5821.17,5835.27,0
2024-10-22 08:30,5835.33,5842.46,5829.03,5840.08,0
2024-10-22 09:30,5840.06,5841.71,5834.54,5836.56,0
2024-10-22 10:30,5836.4,5846.06,5834.9,5845.91,0
2024-10-22 11:30,5845.89,5863.04,5845.24,5854.58,0
2024-10-22 12:30,5854.56,5856.0,5847.4,5855.93,0
2024-10-22 13:30,5855.76,5860.37,5850.63,5851.2,0
2024-10-23 07:30,5834.5,5834.72,5819.1,5826.24,0
2024-10-23 08:30,5826.26,5834.85,5806.0,5806.54,0
2024-10-23 09:30,5806.51,5816.77,5797.74,5799.02,0
2024-10-23 10:30,5798.79,5805.82,5783.12,5786.43,0
2024-10-23 11:30,5786.5,5786.74,5762.41,5772.9,0
2024-10-23 12:30,5772.89,5793.09,5772.19,5790.19,0
2024-10-23 13:30,5790.13,5799.08,5788.88,5797.42,0
2024-10-24 07:30,5817.8,5817.8,5803.91,5809.2,0
2024-10-24 08:30,5809.13,5815.95,5801.0,5804.55,0
2024-10-24 09:30,5804.55,5805.33,5784.92,5799.01,0
2024-10-24 10:30,5798.91,5812.67,5798.91,5808.47,0
2024-10-24 11:30,5808.36,5813.28,5800.04,5806.87,0
2024-10-24 12:30,5806.62,5813.27,5801.12,5811.48,0
2024-10-24 13:30,5811.66,5816.23,5808.6,5809.86,0
2024-10-25 07:30,5826.75,5862.82,5826.75,5860.27,0
2024-10-25 08:30,5860.35,5861.71,5842.37,5844.88,0
2024-10-25 09:30,5844.86,5846.12,5835.96,5845.63,0
2024-10-25 10:30,5845.61,5845.61,5819.29,5821.71,0
2024-10-25 11:30,5821.65,5823.46,5799.98,5815.17,0
2024-10-25 12:30,5815.12,5823.11,5809.45,5812.91,0
2024-10-25 13:30,5812.33,5815.25,5803.88,5808.12,0
2024-10-28 07:30,5833.93,5842.65,5831.36,5842.45,0
2024-10-28 08:30,5842.41,5842.92,5830.66,5833.4,0
2024-10-28 09:30,5833.68,5834.93,5824.31,5832.77,0
2024-10-28 10:30,5832.81,5834.12,5824.78,5832.45,0
2024-10-28 11:30,5832.41,5836.05,5830.69,5831.25,0
2024-10-28 12:30,5831.22,5835.35,5827.0,5832.26,0
2024-10-28 13:30,5832.28,5834.94,5823.08,5823.52,0
2024-10-29 07:30,5819.68,5835.96,5802.17,5823.78,0
2024-10-29 08:30,5823.77,5833.61,5822.48,5829.17,0
2024-10-29 09:30,5829.1,5837.5,5826.1,5831.72,0
2024-10-29 10:30,5831.66,5844.9,5826.62,5837.78,0
